provider,model,competitor,n_mentions
anthropic,claude-sonnet-4-6,World Bank,13
openai,gpt-4o,World Bank,13
openai,gpt-4o,United Nations,7
anthropic,claude-sonnet-4-6,IMF,5
openai,gpt-4o,European Union,5
openai,gpt-4o,IMF,5
anthropic,claude-sonnet-4-6,G20,4
anthropic,claude-sonnet-4-6,UNESCO,4
openai,gpt-4o,Eurostat,4
openai,gpt-4o,World Economic Forum,4
anthropic,claude-sonnet-4-6,European Union,3
anthropic,claude-sonnet-4-6,United Nations,3
openai,gpt-4o,UNESCO,3
anthropic,claude-sonnet-4-6,G7,2
anthropic,claude-sonnet-4-6,ITU,2
anthropic,claude-sonnet-4-6,UNDP,2
anthropic,claude-sonnet-4-6,Eurostat,1
anthropic,claude-sonnet-4-6,Global Partnership on AI,1
anthropic,claude-sonnet-4-6,ILO,1
anthropic,claude-sonnet-4-6,World Economic Forum,1
openai,gpt-4o,G20,1
openai,gpt-4o,Global Partnership on AI,1
openai,gpt-4o,ILO,1
openai,gpt-4o,ITU,1
openai,gpt-4o,UNDP,1
