provider,model,category,oecd_prominence,n_responses,group_total,oecd_prominence_share
anthropic,claude-sonnet-4-6,authority_standard_setting,none,0,5,0.0
anthropic,claude-sonnet-4-6,authority_standard_setting,incidental,0,5,0.0
anthropic,claude-sonnet-4-6,authority_standard_setting,supporting,4,5,0.8
anthropic,claude-sonnet-4-6,authority_standard_setting,primary,1,5,0.2
anthropic,claude-sonnet-4-6,comparative_peer,none,0,5,0.0
anthropic,claude-sonnet-4-6,comparative_peer,incidental,0,5,0.0
anthropic,claude-sonnet-4-6,comparative_peer,supporting,5,5,1.0
anthropic,claude-sonnet-4-6,comparative_peer,primary,0,5,0.0
anthropic,claude-sonnet-4-6,data_statistics,none,1,6,0.1667
anthropic,claude-sonnet-4-6,data_statistics,incidental,0,6,0.0
anthropic,claude-sonnet-4-6,data_statistics,supporting,3,6,0.5
anthropic,claude-sonnet-4-6,data_statistics,primary,2,6,0.3333
anthropic,claude-sonnet-4-6,generative_search_referral,none,0,3,0.0
anthropic,claude-sonnet-4-6,generative_search_referral,incidental,0,3,0.0
anthropic,claude-sonnet-4-6,generative_search_referral,supporting,3,3,1.0
anthropic,claude-sonnet-4-6,generative_search_referral,primary,0,3,0.0
anthropic,claude-sonnet-4-6,named_product_recall,none,0,5,0.0
anthropic,claude-sonnet-4-6,named_product_recall,incidental,0,5,0.0
anthropic,claude-sonnet-4-6,named_product_recall,supporting,0,5,0.0
anthropic,claude-sonnet-4-6,named_product_recall,primary,5,5,1.0
anthropic,claude-sonnet-4-6,policy_recommendation,none,6,6,1.0
anthropic,claude-sonnet-4-6,policy_recommendation,incidental,0,6,0.0
anthropic,claude-sonnet-4-6,policy_recommendation,supporting,0,6,0.0
anthropic,claude-sonnet-4-6,policy_recommendation,primary,0,6,0.0
openai,gpt-4o,authority_standard_setting,none,0,5,0.0
openai,gpt-4o,authority_standard_setting,incidental,0,5,0.0
openai,gpt-4o,authority_standard_setting,supporting,4,5,0.8
openai,gpt-4o,authority_standard_setting,primary,1,5,0.2
openai,gpt-4o,comparative_peer,none,0,5,0.0
openai,gpt-4o,comparative_peer,incidental,0,5,0.0
openai,gpt-4o,comparative_peer,supporting,5,5,1.0
openai,gpt-4o,comparative_peer,primary,0,5,0.0
openai,gpt-4o,data_statistics,none,1,6,0.1667
openai,gpt-4o,data_statistics,incidental,0,6,0.0
openai,gpt-4o,data_statistics,supporting,4,6,0.6667
openai,gpt-4o,data_statistics,primary,1,6,0.1667
openai,gpt-4o,generative_search_referral,none,0,3,0.0
openai,gpt-4o,generative_search_referral,incidental,0,3,0.0
openai,gpt-4o,generative_search_referral,supporting,3,3,1.0
openai,gpt-4o,generative_search_referral,primary,0,3,0.0
openai,gpt-4o,named_product_recall,none,0,5,0.0
openai,gpt-4o,named_product_recall,incidental,0,5,0.0
openai,gpt-4o,named_product_recall,supporting,0,5,0.0
openai,gpt-4o,named_product_recall,primary,5,5,1.0
openai,gpt-4o,policy_recommendation,none,6,6,1.0
openai,gpt-4o,policy_recommendation,incidental,0,6,0.0
openai,gpt-4o,policy_recommendation,supporting,0,6,0.0
openai,gpt-4o,policy_recommendation,primary,0,6,0.0
